Property Reference Number,Ratepayer,Address,Postcode,Latitude,Longitude,Property start date,Rateable value,VOA code,VOA description,Liability start date,Occupied,Occupied description,Reaons Empty,Empty from,Mandatory Reliefs,Date From,DISC Reliefs,Date From,Retail Relief,Other Reliefs,Date From, Total Net Liability ,Local Reval Relief
46,,"The Bank, Cleasby Road, Menston, Ilkley, LS29 6JE",LS29 6JE,53.89089,-1.73562,1990-04-01,3200,CS,SHOP AND PREMISES,2003-12-04,Y,Occupied,,,Small Business Rates Relief,01/04/2007,,,,,, ‹¨«-   ,
50,Santander Uk Plc,"Abbey National, 9, Nelson Street, Bradford, BD1 5AN",BD1 5AN,53.79037,-1.75136,1999-01-14,985000,CO,OFFICES AND PREMISES,1999-01-14,Y,Occupied,,,,,,,,,," ‹¨«594,986.43 ",
61,,"122, North Street, Keighley, BD21 3AL",BD21 3AL,53.87057,-1.90929,1990-04-01,3000,CS,SHOP AND PREMISES,2006-09-04,Y,Occupied,,,Small Business Rates Relief,01/04/2007,,,,,, ‹¨«-   ,
62,,"45, Mill Hey, Haworth, Keighley, BD22 8NA",BD22 8NA,53.83236,-1.94672,1990-04-01,2700,CS,SHOP AND PREMISES,2013-11-11,Y,Occupied,,,Small Business Rates Relief,30/11/2013,,,,,, ‹¨«-   ,
70,Bardsley Powell Estates,"4a, Little Horton Green, Bradford, BD5 0NG",BD5 0NG,53.78493,-1.76503,1990-04-01,1400,CW3,STORE AND PREMISES,2007-09-01,Y,Occupied,,,,,,,,,, ‹¨«678.17 ,
78,Salem Athletic Cricket Club,"Sports Ground, Leylands Lane, Bradford, BD9 5QT",BD9 5QT,53.81357,-1.79159,1990-04-01,5900,LS,SPORTS GROUND AND PREMISES,1990-04-01,Y,Occupied,,,Mandatory Sport Relief,18/09/2005,,,,,, ‹¨«594.72 ,
83,,"Lalas, 55, Toller Lane, Bradford, BD8 9DD",BD8 9DD,53.80468,-1.77985,1990-04-01,50500,CR,,2017-12-01,Y,Occupied,,,,,,,Retail Discount,,," ‹¨«16,530.33 ",
84,Empire House Piccadilly Limited,"8-10, Piccadilly, Bradford, BD1 3LS",BD1 3LS,53.79558,-1.75335,1998-05-01,0,CO,OFFICES AND PREMISES,2017-11-17,,Empty,Exempt Listed Building,17/11/2017,,,,,,,, ‹¨«-   ,
87,,"Storage, 1st Floor, Drill Parade, Bradford, BD8 7HY",BD8 7HY,53.80294,-1.7621,1992-04-01,0,CW3,,2017-07-18,,Empty,Exempt below RV,02/06/2018,,,,,,,, ‹¨«-   ,
94,,"5, Rawson Road, Bradford, BD1 3SH",BD1 3SH,53.79669,-1.75738,1990-04-01,8500,CS,,1995-06-01,Y,Occupied,,,Small Business Rates Relief,01/04/2007,,,,,, ‹¨«-   ,
95,,"135-139, Manningham Lane, Bradford, BD8 7JA",BD8 7JA,53.8023,-1.76139,1990-04-01,7800,CS,SHOP AND PREMISES,2011-04-01,,Empty,Empty Charge Retail,01/04/2011,,,,,,,," ‹¨«3,931.20 ",
96,Tsb Banking Group Plc,"74-76, Towngate, Keighley, BD21 3QE",BD21 3QE,53.86757,-1.90727,1990-04-01,53000,CS1,BANK AND PREMISES,1990-04-01,Y,Occupied,,,,,,,,,," ‹¨«26,712.00 ",
98,,"Clifton Mill, Upper Ground Floor, Clifton Street, Bradford, BD8 7DA",BD8 7DA,53.80571,-1.76263,1995-01-30,8500,CW,WAREHOUSE AND PREMISES,2016-11-15,Y,Occupied,,,Small Business Rates Relief,15/11/2016,,,,,, ‹¨«-   ,
113,Hbcl Coldstores Limited,"Unit 9, G B Business Park, Cutler Heights Lane, Bradford, BD4 9HZ",BD4 9HZ,53.78125,-1.71629,1992-10-05,29000,CW,WAREHOUSE AND PREMISES,2004-10-29,Y,Occupied,,,,,,,,,," ‹¨«14,239.00 ",
130,Tote Bookmakers Limited,"228, High Street, Wibsey, Bradford, BD6 1QP",BD6 1QP,53.76693,-1.77439,1990-04-01,7600,CS,SHOP AND PREMISES,1990-04-01,Y,Occupied,,,,,,,,,," ‹¨«3,731.60 ",
133,,"141, Main Street, Wilsden, Bradford, BD15 0AQ",BD15 0AQ,53.82229,-1.85939,1990-04-01,5900,CS,SHOP AND PREMISES,2006-11-18,Y,Occupied,,,Small Business Rates Relief,01/04/2007,,,,,, ‹¨«-   ,
134,The Congregational Federation Limited,"405, Thornton Road, Thornton, Bradford, BD13 3JN",BD13 3JN,53.79046,-1.85362,1997-02-17,4650,CS,SHOP AND PREMISES,2015-03-01,Y,Occupied,,,Mandatory Charity Relief,27/07/2015,,,,,, ‹¨«468.72 ,
138,The Secretary Northcliffe Golf Club,"Northcliffe Golf Course, High Bank Lane, Shipley, BD18 4LJ",BD18 4LJ,53.82866,-1.79801,1990-04-01,42750,LS2,GOLF COURSE AND PREMISES,1990-04-01,Y,Occupied,,,,,,,,,," ‹¨«20,990.25 ",
142,,"498, Thornton Road, Bradford, BD8 9NA",BD8 9NA,53.79941,-1.78569,1990-04-01,4800,CS,SHOP AND PREMISES,2011-01-01,Y,Occupied,,,Small Business Rates Relief,01/01/2011,,,,,, ‹¨«-   ,
143,S&M Kirkgate Limited,"6, Piccadilly, Bradford, BD1 3LW",BD1 3LW,53.79515,-1.75283,1998-05-01,12500,CO,OFFICES AND PREMISES,2011-12-23,,Empty,Exempt Listed Building,23/12/2011,,,,,,,, ‹¨«-   ,
145,Mahmoods (Franchising) Limited,"Unit 2, Red Oak House, Duncombe Street, Bradford, BD8 9AJ",BD8 9AJ,53.79679,-1.78167,1993-07-03,18500,CW,WAREHOUSE AND PREMISES,2016-06-01,,Empty,Exempt not Relevent Hereditament,09/05/2017,,,,,,,, ‹¨«-   ,
150,Penyffordd Pharmacy Limited,"238, Whetley Lane, Bradford, BD8 9DJ",BD8 9DJ,53.80341,-1.77624,1990-04-01,6600,CS,PHARMACY AND PREMISES,2006-06-30,Y,Occupied,,,Small Business Rates Relief,01/07/2012,,,,,, ‹¨«-   ,
157,,"Lower Ground Floor, Clifton Street, Bradford, BD8 7DA",BD8 7DA,53.80571,-1.76263,1995-01-30,6700,CW,VEHICLE DISMANTLERS YARD,2017-01-29,Y,Occupied,,,Small Business Rates Relief,29/01/2017,,,,,, ‹¨«-   ,
164,The Upstagers Theatre Charity Limited,"Unit 6, 1st Floor, Booths Yard, Nile Road, Ilkley, LS29 8HJ",LS29 8HJ,53.92581,-1.82178,1990-04-01,4750,IF3,WORKSHOP AND PREMISES,2010-08-10,Y,Occupied,,,Mandatory Charity Relief,10/08/2010,,,,,, ‹¨«478.80 ,
167,Primesight Limited,"Advert Rights No 1344 02-06, Baildon Bridge, Otley Road, Baildon, BD17 7ER",BD17 7ER,53.83815,-1.77241,1990-04-01,8000,CA,ADVERTISING RIGHT AND PREMISES,2009-09-01,Y,Occupied,,,,,,,,,," ‹¨«3,928.00 ",
171,,"1374, Leeds Road, Bradford, BD3 8NE",BD3 8NE,53.79694,-1.71197,1990-04-01,3300,CS,SHOP AND PREMISES,2012-04-01,Y,Occupied,,,Small Business Rates Relief,01/04/2013,,,,,, ‹¨«-   ,
173,,"4, New Hey Road, Bradford, BD4 7HY",BD4 7HY,53.78208,-1.73501,1990-04-01,3950,CS,SHOP AND PREMISES,2017-07-17,Y,Occupied,,,Small Business Rates Relief,17/07/2017,,,,,, ‹¨«-   ,
179,Lodge Of The Three Graces No 408,"Masonic Hall Opp, Police Station, Mill Hey, Haworth, Keighley, BD22 8NA",BD22 8NA,53.83236,-1.94672,1990-04-01,5900,CL2,CLUB AND PREMISES,1990-04-01,Y,Occupied,,,Small Business Rates Relief,01/04/2007,,,,,, ‹¨«-   ,
180,Co-Operative Group Limited,"Shop, 24, Station Road, Oxenhope, Keighley, BD22 9JJ",BD22 9JJ,53.811,-1.95092,1990-04-01,27000,CS,,1990-04-01,Y,Occupied,,,,,,,,,," ‹¨«13,257.00 ",
181,,"4, Chapel Street, Queensbury, Bradford, BD13 2PY",BD13 2PY,53.76862,-1.84708,1990-04-01,5900,CS,SHOP AND PREMISES,2019-04-23,Y,Occupied,,,Small Business Rates Relief,23/04/2019,,,,,, ‹¨«-   ,
185,Raiseprint Limited,"Unit E1-2, Royd Ings Avenue, Keighley, BD21 3QY",BD21 3QY,53.86607,-1.9072,1990-04-01,42750,IF,,1995-08-22,Y,Occupied,,,,,,,,,," ‹¨«20,990.25 ",
187,,"94-96, Gaythorne Road, Bradford, BD5 8AY",BD5 8AY,53.77736,-1.75427,1990-04-01,8500,CS,SHOP AND PREMISES,2009-06-06,Y,Occupied,,,Small Business Rates Relief,06/03/2014,,,,,, ‹¨«-   ,
189,Edwick Memorial Hall Trust Limited,"The Birches, Otley Road, Eldwick, Bingley, BD16 3EQ",BD16 3EQ,53.86029,-1.81275,1990-04-01,4300,CL,PUBLIC HOUSE AND PREMISES,1990-04-01,Y,Occupied,,,Mandatory Charity Relief,01/04/1998,,,Retail Discount,,, ‹¨«288.96 ,
190,,"1, Wilsden Road, Harden, Bingley, BD16 1JP",BD16 1JP,53.84085,-1.87037,1990-04-01,3100,CS,SHOP AND PREMISES,1990-04-01,Y,Occupied,,,Mand Rural Relief,01/04/2017,,,,,, ‹¨«-   ,
193,The Childrens Place Limited,"Creche, 83, Leylands Lane, Bradford, BD9 5QT",BD9 5QT,53.81357,-1.79159,1998-06-10,16500,EN1,DAY NURSERY AND PREMISES,2013-01-01,Y,Occupied,,,,,,,,,," ‹¨«8,101.50 ",
196,,"17, Victoria Road, Saltaire, Shipley, BD18 3LQ",BD18 3LQ,53.83681,-1.79021,1990-04-01,5000,CO,OFFICES AND PREMISES,2017-04-15,Y,Occupied,,,Small Business Rates Relief,23/05/2017,,,,,, ‹¨«-   ,
198,,"2a, Wrose Road, Bradford, BD2 1LH",BD2 1LH,53.82405,-1.73811,1990-04-01,4300,CS,SHOP AND PREMISES,2007-06-01,Y,Occupied,,,Small Business Rates Relief,13/08/2007,,,,,, ‹¨«-   ,
201,Empire House Piccadilly Limited,"3rd Floor, 8-10, Piccadilly, Bradford, BD1 3LS",BD1 3LS,53.79558,-1.75335,1998-05-01,18500,CO,OFFICES AND PREMISES,2017-11-16,,Empty,Exempt Listed Building,16/11/2017,,,,,,,, ‹¨«-   ,
205,Sofa Doctor Ltd,"103, Legrams Lane, Bradford, BD7 2AA",BD7 2AA,53.79117,-1.77907,1990-04-01,5600,CS,,2018-04-06,Y,Occupied,,,Small Business Rates Relief,06/04/2018,,,,,, ‹¨«-   ,
207,Co-Operative Group Limited,"6, Tyrrel Street, Bradford, BD1 1RJ",BD1 1RJ,53.79385,-1.75364,1990-04-01,31000,CS1,,1992-03-17,Y,Occupied,,,,,,,,,," ‹¨«15,221.00 ",
208,,"171a, Great Horton Road, Bradford, BD7 1RP",BD7 1RP,53.78741,-1.77259,1990-04-01,3900,CS,SHOP AND PREMISES,2019-07-16,Y,Occupied,,,Small Business Rates Relief,16/07/2019,,,,,, ‹¨«-   ,
211,,"Car Parking Bay No 19, West Riding House, Cheapside, Bradford, BD1 4HR",BD1 4HR,53.79561,-1.75257,1990-04-01,600,CP1,CAR PARKING SPACE AND PREMISES,2009-04-01,Y,Occupied,,,,,,,,,, ‹¨«294.60 ,
212,,"Warehouse And Premises, Worth Way, Keighley, BD21 5AJ",BD21 5AJ,53.86523,-1.90619,1990-04-01,17250,CS7,SHOWROOM AND PREMISES,2012-02-18,Y,Occupied,,,,,,,Retail Discount,,," ‹¨«5,646.50 ",
215,Shorts Industries Limited,"6, Station Road, Canal Rd-Queens Rd, Bradford, BD1 4SF",BD1 4SF,53.80903,-1.75737,1995-01-03,71000,IF3,,2019-03-08,Y,Occupied,,,,,,,,,," ‹¨«24,833.70 ",
218,Babycare (Bradford) Limited,"Unit 1, Oxford Works, Dudley Hill Road, Bradford, BD2 3AA",BD2 3AA,53.80949,-1.73029,1990-04-01,11250,CW3,STORE AND PREMISES,2009-04-01,Y,Occupied,,,,,,,,,," ‹¨«5,523.75 ",
220,The Secretary Keighley Golf Club,"Keighley Golf Club, Howden Park, Silsden, BD20 6DH",BD20 6DH,53.88768,-1.91658,1990-04-01,57000,LS2,,1990-04-01,Y,Occupied,,,,,,,,,," ‹¨«28,728.00 ",
222,Bellissimo Workspace Limited,"Unit 31, Dalton Mills, Dalton Lane, Keighley, BD21 4JH",BD21 4JH,53.86922,-1.89439,1995-08-15,1350,CO,OFFICES AND PREMISES,2013-05-15,Y,Occupied,,,Small Business Rates Relief,01/04/2014,,,,,, ‹¨«-   ,
235,,"Mectec, Ingrow Bridge, South Street, Keighley, BD21 5AX",BD21 5AX,53.85454,-1.91573,1990-04-01,7600,IF3,WORKSHOP AND PREMISES,1995-02-25,Y,Occupied,,,Small Business Rates Relief,01/04/2007,,,,,, ‹¨«-   ,
237,Keighley & Worth Valley Railway Preservation Society Limited,"Keighley And, Worth Valley Railway, Station Road, Haworth, Keighley, BD22 8NJ",BD22 8NJ,53.83122,-1.94873,1990-04-01,100000,LX,HERITAGE RAILWAY AND PREMISES,1990-04-01,Y,Occupied,,,Mandatory Charity Relief,13/07/2010,,,,,," ‹¨«8,181.39 ",
240,Tunnacliffe & Lambert Limited,"18, Station Road, Clayton, Bradford, BD14 6JA",BD14 6JA,53.78154,-1.81826,1990-04-01,6000,CS,,2015-10-01,Y,Occupied,,,,,,,,,," ‹¨«2,228.27 ",
244,,"808, Little Horton Lane, Bradford, BD5 9DG",BD5 9DG,53.77676,-1.7706,1990-04-01,3650,CS,SHOP AND PREMISES,1997-06-01,Y,Occupied,,,Small Business Rates Relief,01/04/2007,,,,,, ‹¨«-   ,
247,,"Tara House, 92, Otley Road, Eldwick, Bingley, BD16 3HD",BD16 3HD,53.85981,-1.81298,1990-04-01,5200,CS,SHOP AND PREMISES,2015-08-21,Y,Occupied,,,Small Business Rates Relief,21/08/2015,,,,,, ‹¨«-   ,
249,,"118, Main Street, Wilsden, Bradford, BD15 0AB",BD15 0AB,53.82318,-1.86069,1990-04-01,3400,CS,SHOP AND PREMISES,2008-11-01,Y,Occupied,,,Small Business Rates Relief,01/11/2008,,,,,, ‹¨«-   ,
250,,"2, Priestley Street, Thornton, Bradford, BD13 3LB",BD13 3LB,53.79014,-1.85158,1996-09-01,2025,IF3,WORKSHOP AND PREMISES,2019-02-22,Y,Occupied,,,Small Business Rates Relief,22/02/2019,,,,,, ‹¨«-   ,
251,,"Medical Centre, 81, Leylands Lane, Bradford, BD9 5QT",BD9 5QT,53.81357,-1.79159,1998-05-15,45000,MH,SURGERY AND PREMISES,1998-05-15,Y,Occupied,,,,,,,,,," ‹¨«22,095.00 ",
253,The Governing Body,"Sandy Lane Primary School, Cottingley Road, Bradford, BD15 9JU",BD15 9JU,53.81695,-1.83194,1990-04-01,48000,EL,,1990-04-01,Y,Occupied,,,,,,,,,," ‹¨«23,568.00 ",
254,Priestley & Webb Ltd,"318, Keighley Road, Bradford, BD9 4EX",BD9 4EX,53.82016,-1.77448,1990-04-01,5000,CS,SHOP AND PREMISES,2015-09-15,Y,Occupied,,,Small Business Rates Relief,15/09/2015,,,,,, ‹¨«-   ,
258,,"144, Toller Lane, Bradford, BD9 5JE",BD9 5JE,53.80741,-1.79001,1990-04-01,4750,CS,SHOP AND PREMISES,2009-09-01,Y,Occupied,,,Small Business Rates Relief,01/04/2011,,,,,, ‹¨«-   ,
259,,"Central Motor Company, 129, Great Horton Road, Bradford, BD7 1QG",BD7 1QG,53.78813,-1.76987,1994-04-11,14000,CX,LAND USED FOR DISPLAY AND PREMISES,2019-04-01,Y,Occupied,,,Small Business Rates Relief,01/04/2019,,,Retail Discount,,," ‹¨«3,055.11 ",
266,,"21, Aberdeen Place, Bradford, BD7 2HG",BD7 2HG,53.78717,-1.78468,1990-04-01,1975,CS,SHOP AND PREMISES,2017-08-01,Y,Occupied,,,Small Business Rates Relief,01/08/2017,,,,,, ‹¨«-   ,
279,Myers Building Supplies Ltd,"Old Cornmill, Keighley Road, Silsden, BD20 0DY",BD20 0DY,53.91028,-1.93852,1990-04-01,54000,CW,,1990-04-01,Y,Occupied,,,,,,,,,," ‹¨«26,366.62 ",Yes
282,,"335, Leeds Road, Ilkley, LS29 8NF",LS29 8NF,53.92996,-1.80164,1990-04-01,11750,CS,SHOP AND PREMISES,2014-10-01,Y,Occupied,,,Small Business Rates Relief,24/11/2014,,,,,, ‹¨«-   ,
284,,"521, Leeds Road, Idle, Bradford, BD10 8JZ",BD10 8JZ,53.84241,-1.73585,1990-04-01,4850,CS,SHOP AND PREMISES,2016-10-01,Y,Occupied,,,Small Business Rates Relief,01/10/2016,,,,,, ‹¨«-   ,
285,Be Humble Limited,"151, Harrogate Road, Bradford, BD2 3ES",BD2 3ES,53.81305,-1.7264,1990-04-01,7800,CS,SHOP AND PREMISES,2018-04-24,Y,Occupied,,,Small Business Rates Relief,25/04/2018,,,,,, ‹¨«-   ,
293,Amalgamated Engineers (Keighley) Social Club And Institute L,"16, Russell Street, Keighley, BD21 2JP",BD21 2JP,53.8669,-1.91156,1990-04-01,4700,CL2,CLUB AND PREMISES,1990-04-01,Y,Occupied,,,Small Business Rates Relief,01/04/2007,,,,,, ‹¨«-   ,
294,,"Birchwood Fisheries, Birchwood Road, Keighley, BD20 6BX",BD20 6BX,53.88213,-1.91748,1990-04-01,1725,CS,SHOP AND PREMISES,2011-04-27,Y,Occupied,,,Small Business Rates Relief,05/07/2011,,,,,, ‹¨«-   ,
295,,"9, Sun Street, Haworth, Keighley, BD22 8BY",BD22 8BY,53.82822,-1.95294,1990-04-01,3000,CS,SHOP AND PREMISES,2019-04-15,,Empty,Empty Charge Retail,15/04/2019,,,,,,,," ‹¨«1,454.16 ",
296,Yorkshire Water Services Limited,"North Ives Bottom, Hebden Road, Oxenhope, Keighley, BD22 9TD",BD22 9TD,53.81683,-1.94344,1990-04-01,23000,NW,SEWAGE TREATMENT WORKS AND PREMISES,1990-04-01,Y,Occupied,,,,,,,,,," ‹¨«11,293.00 ",
297,,"Ring Obells Inn, 63, High Street, Queensbury, Bradford, BD13 2AD",BD13 2AD,53.76767,-1.84776,1990-04-01,13000,CL,,2012-08-06,Y,Occupied,,,Small Business Rates Relief,01/04/2017,,,Retail Discount,,," ‹¨«1,418.45 ",
302,,"101a, Little Horton Lane, Bradford, BD5 0BU",BD5 0BU,53.78846,-1.75829,1990-04-01,6200,CS5,LAUNDERETTE AND PREMISES,2018-06-10,Y,Occupied,,,Small Business Rates Relief,10/06/2018,,,,,, ‹¨«-   ,
309,Sunrise Foods Bradford Ltd T/A Mashriq Occasions,"25a, Heaton Road, Bradford, BD8 8RA",BD8 8RA,53.80729,-1.77624,1997-10-02,12000,IF3,WORKSHOP AND PREMISES,2016-06-25,Y,Occupied,,,,,,,,,," ‹¨«5,892.00 ",
310,Rajas M I Ltd,"228, Haworth Road, Bradford, BD9 6NS",BD9 6NS,53.81637,-1.8192,1990-04-01,5700,CS,SHOP AND PREMISES,2019-04-01,Y,Occupied,,,Small Business Rates Relief,01/04/2019,,,,,, ‹¨«-   ,
313,Salts Estates Ltd,"The Second Gallery, Salts Mill, Victoria Road, Saltaire, Shipley, BD18 3LA",BD18 3LA,53.83832,-1.78771,1993-04-01,12000,EM1,ART GALLERY,1993-04-01,Y,Occupied,,,,,,,,,," ‹¨«5,892.00 ",
315,Colin Appleyard Limited,"77, Otley Road, Shipley, BD18 2BJ",BD18 2BJ,53.8323,-1.77495,1990-04-01,24500,CS7,SHOWROOM AND PREMISES,2013-10-16,Y,Occupied,,,,,,,Retail Discount,,," ‹¨«8,019.67 ",
328,Pay Weekly Ltd,"Unit 4, Mandale Industrial Unit, South Street, Keighley, BD21 1AQ",BD21 1AQ,53.8577,-1.91245,1990-04-01,10500,IF3,,2019-04-01,Y,Occupied,,,,,,,Retail Discount,,," ‹¨«3,437.00 ",
329,3 Cube Real Estate Limited,"No 4, Equity House, 40, Piccadilly, Bradford, BD1 3NN",BD1 3NN,53.7964,-1.75425,1990-04-01,720,CP1,CAR PARKING SPACE AND PREMISES,2007-04-01,,Empty,Exempt below RV,01/04/2007,,,,,,,, ‹¨«-   ,
336,Silsden Cricket Club,"Advert Right Adj, Cricket Ground, Keighley Road, Silsden, BD20 0EH",BD20 0EH,53.90936,-1.93944,1990-04-01,520,CA,ADVERTISING RIGHT AND PREMISES,1990-04-01,Y,Occupied,,,Small Business Rates Relief,01/04/2010,,,,,, ‹¨«-   ,
339,,"Grange Park Surgery, Grange Road, Burley In Wharfedale, Ilkley, LS29 7HG",LS29 7HG,53.91269,-1.7481,1990-04-01,19750,MH,SURGERY AND PREMISES,2008-04-01,Y,Occupied,,,,,,,,,," ‹¨«8,073.44 ",
341,,"2, Parry Lane, Bradford, BD4 8TJ",BD4 8TJ,53.78661,-1.72597,1990-04-01,4150,CS,SHOP AND PREMISES,2019-01-25,,Empty,Empty Charge Retail,25/01/2019,,,,,,,," ‹¨«2,091.60 ",
342,,"19, Northgate, Baildon, BD17 6JZ",BD17 6JZ,53.85407,-1.76589,1990-04-01,1700,CO,OFFICES AND PREMISES,2006-02-13,Y,Occupied,,,Small Business Rates Relief,01/04/2007,,,,,, ‹¨«-   ,
344,,"127, Harrogate Road, Bradford, BD2 3ES",BD2 3ES,53.81305,-1.7264,1990-04-01,6800,CS,SHOP AND PREMISES,2002-12-17,Y,Occupied,,,Small Business Rates Relief,01/04/2007,,,,,, ‹¨«-   ,
355,,"105a, Cooper Lane, Bradford, BD6 3PB",BD6 3PB,53.76697,-1.80814,1990-04-01,2050,CS,SHOP AND PREMISES,2010-04-01,,Empty,Exempt below RV,02/12/2017,,,,,,,, ‹¨«-   ,
357,,"423, Southfield Lane, Bradford, BD7 3DN",BD7 3DN,53.78015,-1.78474,1990-04-01,4000,CS,SHOP AND PREMISES,2017-06-20,Y,Occupied,,,Small Business Rates Relief,20/06/2017,,,,,, ‹¨«-   ,
361,,"81, Park Road, Bradford, BD5 0SG",BD5 0SG,53.78599,-1.75753,1990-04-01,3700,CS,,2018-06-01,Y,Occupied,,,Small Business Rates Relief,01/06/2018,,,,,, ‹¨«-   ,
364,,"36, Leonard Street, Bingley, BD16 2PS",BD16 2PS,53.84596,-1.83177,1990-04-01,2750,CS,SHOP AND PREMISES,2011-02-19,Y,Occupied,,,Small Business Rates Relief,19/02/2011,,,,,, ‹¨«-   ,
365,,"The Villager, Peel Street, Wilsden, Bradford, BD15 0JE",BD15 0JE,53.81987,-1.85979,1990-04-01,7100,CL,,2018-08-07,Y,Occupied,,,Small Business Rates Relief,07/08/2018,,,,,, ‹¨«-   ,
367,The Meridian Centre,"Community Centre, St Pauls Road, Manningham, Bradford, BD8 7LS",BD8 7LS,53.80715,-1.77168,1997-11-11,7700,LC,COMMUNITY CENTRE AND PREMISES,2006-10-06,Y,Occupied,,,Mandatory Charity Relief,10/01/2014,,,,,, ‹¨«776.16 ,
370,Wide Mouth Bars Ltd,"24, Bingley Road, Shipley, BD18 4RS",BD18 4RS,53.83474,-1.79145,1990-04-01,12750,CS,BAR AND PREMISES,2018-04-12,Y,Occupied,,,,,,,Retail Discount,,," ‹¨«2,223.58 ",
392,Abundant Life Centre,"171, North Wing, Bradford, BD3 0EL",BD3 0EL,53.79908,-1.74447,1990-04-01,5300,IF3,WORKSHOP AND PREMISES,2007-03-30,Y,Occupied,,,Mandatory Charity Relief,30/03/2007,,,,,, ‹¨«534.24 ,
397,,"17, The Grove Promenade, Ilkley, LS29 8AF",LS29 8AF,53.92497,-1.82425,1990-04-01,12250,CS,SHOP AND PREMISES,2015-10-05,Y,Occupied,,,Small Business Rates Relief,01/04/2017,,,Retail Discount,,, ‹¨«334.15 ,
399,,"11, Browgate, Baildon, BD17 6BP",BD17 6BP,53.85269,-1.76637,1990-04-01,2250,IF3,WORKSHOP AND PREMISES,2006-11-17,Y,Occupied,,,Small Business Rates Relief,01/04/2007,,,,,, ‹¨«-   ,
400,,"79, Bradford Road, Idle, Bradford, BD10 9LB",BD10 9LB,53.83279,-1.73008,1990-04-01,2750,CS,SHOP AND PREMISES,2013-05-01,Y,Occupied,,,Small Business Rates Relief,01/05/2013,,,,,, ‹¨«-   ,
402,Bradford Moor Community Centre,"Rear Of, 18-20, Mortimer Avenue, Bradford, BD3 7EY",BD3 7EY,53.80382,-1.71538,1991-11-30,4550,LC,COMMUNITY CENTRE AND PREMISES,2008-04-01,Y,Occupied,,,Small Business Rates Relief,01/04/2011,,,,,, ‹¨«-   ,
